datetime,data,type,unit,network,region
2020-11-10 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-10 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-10 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-11 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-11 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-12 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-12 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-13 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-13 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-14 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-14 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-15 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-15 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-16 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-16 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 00:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 00:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 01:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 01:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 02:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 02:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 03:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 03:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 04:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 04:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 05:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 05:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 06:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 06:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 07:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 07:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 20:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 20:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 21:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 21:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 22:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 22:30:00,0.0,distillate,MW,wem,WEM
2020-11-17 23:00:00,0.0,distillate,MW,wem,WEM
2020-11-17 23:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 00:00:00,1.62,distillate,MW,wem,WEM
2020-11-18 00:30:00,1.5,distillate,MW,wem,WEM
2020-11-18 01:00:00,1.92,distillate,MW,wem,WEM
2020-11-18 01:30:00,2.06,distillate,MW,wem,WEM
2020-11-18 02:00:00,2.16,distillate,MW,wem,WEM
2020-11-18 02:30:00,2.24,distillate,MW,wem,WEM
2020-11-18 03:00:00,2.28,distillate,MW,wem,WEM
2020-11-18 03:30:00,2.36,distillate,MW,wem,WEM
2020-11-18 04:00:00,2.46,distillate,MW,wem,WEM
2020-11-18 04:30:00,2.48,distillate,MW,wem,WEM
2020-11-18 05:00:00,2.52,distillate,MW,wem,WEM
2020-11-18 05:30:00,2.54,distillate,MW,wem,WEM
2020-11-18 06:00:00,2.62,distillate,MW,wem,WEM
2020-11-18 06:30:00,2.64,distillate,MW,wem,WEM
2020-11-18 07:00:00,3.18,distillate,MW,wem,WEM
2020-11-18 07:30:00,9.46,distillate,MW,wem,WEM
2020-11-18 08:00:00,9.2,distillate,MW,wem,WEM
2020-11-18 08:30:00,3.38,distillate,MW,wem,WEM
2020-11-18 09:00:00,3.58,distillate,MW,wem,WEM
2020-11-18 09:30:00,1.9,distillate,MW,wem,WEM
2020-11-18 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-18 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-18 19:00:00,1.02,distillate,MW,wem,WEM
2020-11-18 19:30:00,1.82,distillate,MW,wem,WEM
2020-11-18 20:00:00,1.92,distillate,MW,wem,WEM
2020-11-18 20:30:00,2.24,distillate,MW,wem,WEM
2020-11-18 21:00:00,2.52,distillate,MW,wem,WEM
2020-11-18 21:30:00,2.14,distillate,MW,wem,WEM
2020-11-18 22:00:00,2.14,distillate,MW,wem,WEM
2020-11-18 22:30:00,2.38,distillate,MW,wem,WEM
2020-11-18 23:00:00,2.36,distillate,MW,wem,WEM
2020-11-18 23:30:00,2.42,distillate,MW,wem,WEM
2020-11-19 00:00:00,2.3,distillate,MW,wem,WEM
2020-11-19 00:30:00,2.28,distillate,MW,wem,WEM
2020-11-19 01:00:00,2.14,distillate,MW,wem,WEM
2020-11-19 01:30:00,2.62,distillate,MW,wem,WEM
2020-11-19 02:00:00,2.56,distillate,MW,wem,WEM
2020-11-19 02:30:00,2.66,distillate,MW,wem,WEM
2020-11-19 03:00:00,2.64,distillate,MW,wem,WEM
2020-11-19 03:30:00,2.68,distillate,MW,wem,WEM
2020-11-19 04:00:00,2.72,distillate,MW,wem,WEM
2020-11-19 04:30:00,2.76,distillate,MW,wem,WEM
2020-11-19 05:00:00,2.76,distillate,MW,wem,WEM
2020-11-19 05:30:00,2.78,distillate,MW,wem,WEM
2020-11-19 06:00:00,2.82,distillate,MW,wem,WEM
2020-11-19 06:30:00,2.84,distillate,MW,wem,WEM
2020-11-19 07:00:00,2.84,distillate,MW,wem,WEM
2020-11-19 07:30:00,2.94,distillate,MW,wem,WEM
2020-11-19 08:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 08:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 09:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 09:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 10:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 10:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 11:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 11:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 12:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 12:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 13:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 13:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 14:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 14:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 15:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 15:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 16:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 16:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 17:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 17:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 18:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 18:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 19:00:00,0.0,distillate,MW,wem,WEM
2020-11-19 19:30:00,0.0,distillate,MW,wem,WEM
2020-11-19 20:00:00,0.0,distillate,MW,wem,WEM
